Nome da Empresa,Nicho,Cidade/Estado,Contato Principal,Tamanho Aproximado,Fonte,Link do Perfil
Med São Paulo - Consultas e Exames,Clínica,São Paulo/SP,(11) 2292-8080,20-50 funcionários,Google Maps,https://www.google.com/maps
Doutor SP - Centro Médico,Clínica,São Paulo/SP,(11) 2944-4000,50-100 funcionários,Google Maps,https://www.google.com/maps
Clínica São Paulo,Clínica,São Paulo/SP,(11) 4420-8440,10-50 funcionários,Google Maps,https://www.google.com/maps
VLS Médici Clínica Médica,Clínica,São Paulo/SP,(11) 3129-5135,5-20 funcionários,Google Maps,https://www.google.com/maps
Clínica de Especialidades Consulta Fácil,Clínica,São Paulo/SP,(11) 3284-9467,20-50 funcionários,Google Maps,https://www.google.com/maps
Clinica Supreme | Medicina Especializada,Clínica,São Paulo/SP,(11) 3829-7800,10-30 funcionários,Google Maps,https://www.google.com/maps
Clínica Astra,Clínica,São Paulo/SP,(11) 3789-2000,15-45 funcionários,Google Maps,https://www.google.com/maps
Clínica Sabará,Clínica,São Paulo/SP,(11) 3171-5000,30-90 funcionários,Google Maps,https://www.google.com/maps
Clínica Mayo São Paulo,Clínica,São Paulo/SP,(11) 3146-6000,25-75 funcionários,Google Maps,https://www.google.com/maps
Clínica Diagnósticos São Paulo,Clínica,São Paulo/SP,(11) 3666-7000,20-60 funcionários,Google Maps,https://www.google.com/maps
SP Imóveis Jardins,Imobiliária,São Paulo/SP,(11) 3068-4000,15-40 funcionários,Google Maps,https://www.google.com/maps
Paulista Real Estate,Imobiliária,São Paulo/SP,(11) 3287-5000,20-50 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Morumbi,Imobiliária,São Paulo/SP,(11) 3742-6000,12-35 funcionários,Google Maps,https://www.google.com/maps
São Paulo Properties,Imobiliária,São Paulo/SP,(11) 3155-8000,18-45 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Pinheiros,Imobiliária,São Paulo/SP,(11) 3813-9000,10-30 funcionários,Google Maps,https://www.google.com/maps
Real Estate Solutions,Imobiliária,São Paulo/SP,(11) 3159-4000,20-50 funcionários,Google Maps,https://www.google.com/maps
Tech Real Estate SP,Imobiliária,São Paulo/SP,(11) 3456-1000,25-60 funcionários,Google Maps,https://www.google.com/maps
Prime Imóveis Paulista,Imobiliária,São Paulo/SP,(11) 3267-2000,15-50 funcionários,Google Maps,https://www.google.com/maps
Lusa Imóveis,Imobiliária,São Paulo/SP,(11) 3345-3000,20-55 funcionários,Google Maps,https://www.google.com/maps
Jardins America Real Estate,Imobiliária,São Paulo/SP,(11) 3889-4000,12-40 funcionários,Google Maps,https://www.google.com/maps
Secovi Rio - Imobiliária,Imobiliária,Rio de Janeiro/RJ,(21) 2220-2222,50-150 funcionários,Google Maps,https://www.google.com/maps
Agência Alpha Imóveis,Imobiliária,Rio de Janeiro/RJ,(21) 3344-5555,10-30 funcionários,Google Maps,https://www.google.com/maps
Rio Properties,Imobiliária,Rio de Janeiro/RJ,(21) 2512-3456,15-40 funcionários,Google Maps,https://www.google.com/maps
Copacabana Real Estate,Imobiliária,Rio de Janeiro/RJ,(21) 2287-8900,20-60 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Ipanema,Imobiliária,Rio de Janeiro/RJ,(21) 2311-2233,10-25 funcionários,Google Maps,https://www.google.com/maps
Hospital Copa D'Or,Clínica,Rio de Janeiro/RJ,(21) 2545-6000,100-300 funcionários,Google Maps,https://www.google.com/maps
Clínica São Vicente,Clínica,Rio de Janeiro/RJ,(21) 3460-7000,50-150 funcionários,Google Maps,https://www.google.com/maps
Clínica DocNatal,Clínica,Rio de Janeiro/RJ,(21) 2228-9900,20-80 funcionários,Google Maps,https://www.google.com/maps
CliniMed Rio,Clínica,Rio de Janeiro/RJ,(21) 3322-1122,30-90 funcionários,Google Maps,https://www.google.com/maps
Clínica Rio XV,Clínica,Rio de Janeiro/RJ,(21) 3379-4400,25-70 funcionários,Google Maps,https://www.google.com/maps
BH Imóveis Central,Imobiliária,Belo Horizonte/MG,(31) 3274-5000,15-40 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Savassi,Imobiliária,Belo Horizonte/MG,(31) 3281-6000,20-50 funcionários,Google Maps,https://www.google.com/maps
Minas Real Estate,Imobiliária,Belo Horizonte/MG,(31) 3227-3333,10-30 funcionários,Google Maps,https://www.google.com/maps
Pampulha Properties,Imobiliária,Belo Horizonte/MG,(31) 3445-7000,12-35 funcionários,Google Maps,https://www.google.com/maps
Hospital da Baleia,Clínica,Belo Horizonte/MG,(31) 3389-4000,200-500 funcionários,Google Maps,https://www.google.com/maps
Hospital Belo Horizonte,Clínica,Belo Horizonte/MG,(31) 3389-6000,150-400 funcionários,Google Maps,https://www.google.com/maps
