Nome da Empresa,Nicho,Cidade,Instagram Handle,LinkedIn URL,Mensagem Instagram,Mensagem LinkedIn,Status,Data Contato,Resposta
Med São Paulo - Consultas e Exames,Clínica,São Paulo/SP,@medsaopaulo,https://linkedin.com/company/medsaopaulo,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Med São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Med São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Doutor SP - Centro Médico,Clínica,São Paulo/SP,@doutorsp,https://linkedin.com/company/doutorsp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) no Doutor SP. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera o Doutor SP. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica São Paulo,Clínica,São Paulo/SP,@clinicasaopaulo,https://linkedin.com/company/clinicasaopaulo,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
VLS Médici Clínica Médica,Clínica,São Paulo/SP,@vlmedici,https://linkedin.com/company/vlmedici,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na VLS Médici. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a VLS Médici. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica de Especialidades Consulta Fácil,Clínica,São Paulo/SP,@consultafacil,https://linkedin.com/company/consultafacil,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Consulta Fácil. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Consulta Fácil. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clinica Supreme | Medicina Especializada,Clínica,São Paulo/SP,@clinicasupreme,https://linkedin.com/company/clinicasupreme,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Supreme. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Supreme. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Astra,Clínica,São Paulo/SP,@clinicaastra,https://linkedin.com/company/clinicaastra,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Astra. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Astra. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Sabará,Clínica,São Paulo/SP,@clinicasabara,https://linkedin.com/company/clinicasabara,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Sabará. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Sabará. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Mayo São Paulo,Clínica,São Paulo/SP,@clinicamayosp,https://linkedin.com/company/clinicamayosp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Mayo São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Mayo São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Diagnósticos São Paulo,Clínica,São Paulo/SP,@diagnosticssp,https://linkedin.com/company/diagnosticssp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Diagnósticos São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Diagnósticos São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
