Segment,Problem Severity (0-20),Willingness-to-Pay (0-20),Market Size (0-20),Acquisition Efficiency (0-20),Retention Potential (0-20),Total Score (0-100),PMF Signal,Decision,Notes
Clínicas Médicas,,,,,,,,,,
Imobiliárias,,,,,,,,,,
Academias,,,,,,,,,,
Óticas,,,,,,,,,,

SCORE_KEY,,,,
Problem Severity,0-5,Nice-to-have (Kill),,,
Problem Severity,6-10,Moderate pain (Weak),,,
Problem Severity,11-15,Significant pain (Good),,,
Problem Severity,16-20,Critical pain (Strong),,,
WTP,0-5,R$ 0-200/mo (Kill),,,
WTP,6-10,R$ 200-400/mo (Weak),,,
WTP,11-15,R$ 400-600/mo (Good),,,
WTP,16-20,R$ 600+/mo (Strong),,,
Market Size,0-5,<1K customers (Kill),,,
Market Size,6-10,1K-5K customers (Weak),,,
Market Size,11-15,5K-20K customers (Good),,,
Market Size,16-20,20K+ customers (Strong),,,
Acquisition,0-5,CPL > R$ 100 (Kill),,,
Acquisition,6-10,CPL R$ 50-100 (Weak),,,
Acquisition,11-15,CPL R$ 25-50 (Good),,,
Acquisition,16-20,CPL < R$ 25 (Strong),,,
Retention,0-5,Churn >10% (Kill),,,
Retention,6-10,Churn 5-10% (Weak),,,
Retention,11-15,Churn 2-5% (Good),,,
Retention,16-20,Churn <2% (Strong),,,
TOTAL_SCORE,0-39,NO PMF - Kill segment,,,
TOTAL_SCORE,40-59,Weak PMF - Pivot or deprioritize,,,
TOTAL_SCORE,60-79,Moderate PMF - Optimize then scale,,,
TOTAL_SCORE,80-100,STRONG PMF - Scale immediately,,,
